Concessionnaire,Ville,Rep,Type,Inventaire_CRM,URL_trouvee,Inventaire_Scraped,Source,Date_Scrape,Notes
Lévis Subaru,Levis,Maxime Beland,Former Customer,77,https://www.levissubaru.com/occasion/recherche.html,17,static_used,2026-05-25,
Thibault Chevrolet Cadillac Buick GMC,Rouyn-noranda,Maxime Beland,Former Customer,51,https://www.thibaultchevrolet.com/occasion,20,cards,2026-05-25,
Gatineau Honda,Gatineau,Isabelle Ricard,Former Customer,50,https://www.gatineauhonda.com/occasion,54,static_used,2026-05-25,
Gatineau Kia,Gatineau,Isabelle Ricard,Former Customer,41,https://www.gatineaukia.ca/occasion,20,cards,2026-05-25,
St-Raymond Toyota,Saint-raymond,Maxime Beland,Prospect,33,https://www.straymondtoyota.com/occasion/recherche.html,10,static_used,2026-05-25,
Honda New Richmond,New Richmond,Maxime Beland,Prospect,30,https://www.hondanewrichmond.com/occasion/recherche.html,7,static_used,2026-05-25,
Kia Levis,Levis,Maxime Beland,Former Customer,30,https://www.kialevis.com/occasion/recherche.html,18,static_used,2026-05-25,
Cliche Auto Ford,Vallée-Jonction,Maxime Beland,Former Customer,30,https://www.clicheauto.com/occasion/recherche.html,4,static_used,2026-05-25,
Desjardins Volkswagen,Québec,Maxime Beland,Former Customer,29,https://www.desjardinsvolkswagen.ca/occasion/recherche.html,15,static_used,2026-05-25,
Pinard Ford,Sainte-Julienne,Maxime Beland,Prospect,29,https://pinardford.com/occasion,28,cards,2026-05-25,
St-Georges Toyota,Saint-Georges,Maxime Beland,Former Customer,26,https://www.stgeorgestoyota.ca/occasion/recherche.html,3,static_used,2026-05-25,
Carella Honda,Amos,Maxime Beland,Prospect,25,https://www.carellahonda.com/fr/inventaire/occasion?is_certified=1,17,cards,2026-05-25,
Villeneuve Volvo,Matane,Maxime Beland,Prospect,23,https://www.villeneuvevolvo.ca/fr/inventaire-occasion,21,script_json,2026-05-25,
Olivier Hyundai Baie-Comeau,Baie-Comeau,Isabelle Ricard,Prospect,21,https://www.olivierhyundai.com/demandes/vehicule-echange-occasion.html,1,cards,2026-05-25,
L'Etoile Dodge Chrysler Inc.,Jonquiere,Maxime Beland,Prospect,21,https://www.letoiledodge.com/occasion/recherche.html,10,static_used,2026-05-25,
Paquin Ford,Rouyn-Noranda,Walid Achour,Prospect,20,https://www.paquinford.com/occasion,35,manual,2026-05-22,
Paquin Mazda,Rouyn-Noranda,Walid Achour,Prospect,15,https://paquinmazda.com/occasion,41,static_used,2026-05-25,
Banlieue Ford,Saint-Apollinaire,Maxime Beland,Prospect,14,https://www.banlieueford.com/demandes/vehicule-echange-occasion.html,1,cards,2026-05-25,
Formule Mazda,Rimouski,Maxime Beland,Former Customer,14,https://www.formulemazda.com/demandes/vehicule-echange-occasion.html,1,cards,2026-05-25,
Sept-Iles Subaru,Sept-Îles,Maxime Beland,Prospect,8,https://www.septilessubaru.com/fr/inventaire-occasion,15,static,2026-05-25,
Olivier Kia Baie-Comeau,Baie-Comeau,Isabelle Ricard,Prospect,5,https://www.olivierkiabaiecomeau.com/occasion/recherche.html,7,static_used,2026-05-25,
Jaguar West Island,Dollard-des Ormeaux,Walid Achour,Former Customer,4,https://www.jaguarwestisland.ca/fr/inventaire-occasion,6,static_used,2026-05-25,
Venne Ford,Repentigny,Isabelle Ricard,Prospect,1,https://www.venneford.ca/vehicles/used,3,script_json,2026-05-25,
Belvedere Nissan,Saint-Jerome,Isabelle Ricard,Former Customer,0,https://www.belvederenissan.com/fr/inventaire-nissan-st-jerome-used,24,static,2026-05-25,
Chomedey Toyota Laval,Laval,Isabelle Ricard,Prospect,0,https://www.chomedeytoyotalaval.ca/occasion/recherche.html,22,static_used,2026-05-25,
Albi Le Geant Mazda Mascouche,Mascouche,Isabelle Ricard,Prospect,0,https://www.albimazda.com/occasion/recherche.html,53,static_used,2026-05-25,
